country,year,composite_v1,composite_v2,tier_v1,tier_v2
Mongolia,2027,0.40848445,0.55692164,High,High
Montenegro,2024,0.3662503,0.513296012,High,High
Montenegro,2025,0.36950585,0.524513096,High,High
Montenegro,2026,0.37275285,0.5356998139999999,High,High
Montenegro,2027,0.37599965,0.546885874,High,High
Montserrat,2024,0.3620596,0.5109330139999999,High,High
Montserrat,2025,0.36696305,0.5229671539999999,High,High
Montserrat,2026,0.37185275,0.534968366,High,High
Montserrat,2027,0.37674275,0.546969684,High,High
Morocco,2024,0.39321045,0.5246620359999999,High,High
Morocco,2025,0.39914005,0.5371893699999999,High,High
Morocco,2026,0.40505405,0.54968345,High,High
Morocco,2027,0.4109681,0.5621769719999999,High,High
Mozambique,2024,0.31610905,0.49082193799999996,Medium,High
Mozambique,2025,0.32153895,0.5030775059999999,Medium,High
Mozambique,2026,0.32695385,0.515299682,Medium,High
Mozambique,2027,0.3323693,0.5275220639999999,Medium,High
Myanmar,2024,0.37075104999999997,0.50773624,High,High
Myanmar,2025,0.37685500000000005,0.5199112,High,High
Myanmar,2026,0.38294255,0.532052852,High,High
Myanmar,2027,0.38903005,0.5441950619999999,High,High
Namibia,2024,0.36359870000000005,0.512192644,High,High
Namibia,2025,0.3685049,0.524215062,High,High
Namibia,2026,0.37339715,0.5362044939999999,High,High
Namibia,2027,0.3782902,0.5481942679999999,High,High
Nauru,2024,0.38509299999999996,0.5225414479999999,High,High
Nauru,2025,0.3908478,0.534996618,High,High
Nauru,2026,0.39658740000000003,0.547418086,High,High
Nauru,2027,0.4023267,0.559839448,High,High
Nepal,2024,0.39383205,0.523267878,High,High
Nepal,2025,0.40081160000000005,0.5361781059999999,High,High
Nepal,2026,0.40777295,0.549054066,High,High
Nepal,2027,0.41473380000000004,0.561929298,High,High
Netherlands,2024,0.557043,0.760867298,High,High
Netherlands,2025,0.5632245499999999,0.7773459759999999,High,High
Netherlands,2026,0.5693891,0.7937787579999999,High,High
Netherlands,2027,0.5755533,0.810211956,High,High
New Caledonia,2024,0.38321335,0.521903092,High,High
New Caledonia,2025,0.3883455,0.534111622,High,High
New Caledonia,2026,0.39346365,0.5462869439999999,High,High
New Caledonia,2027,0.3985814,0.5584614779999999,High,High
New Zealand,2024,0.3971507,0.533506574,High,High
New Zealand,2025,0.40148925,0.545325848,High,High
New Zealand,2026,0.40581625,0.5571137599999999,High,High
